year,region,co,no2,o3,pm10,pm25,psi,so2,buses,cars,motorcycles,others,RoadCategory,RoadCategory_Counts
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,C,5
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,D,2
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,F,28
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,A,3
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,B,13
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,C,1
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,E,2
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,F,16
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,B,5
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,B,26
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,C,5
2019,central,0.43764068725099603,23.659736055776893,32.791708167330675,28.230577689243027,16.509711155378486,53.20480577689243,6.046937250996016,234477,7756144,1667931,1934492,F,13
2019,east,0.5022821215139442,22.01269920318725,24.05191733067729,33.437998007968126,16.87699203187251,53.82158864541832,7.438247011952191,234477,7756144,1667931,1934492,A,3
2019,east,0.5022821215139442,22.01269920318725,24.05191733067729,33.437998007968126,16.87699203187251,53.82158864541832,7.438247011952191,234477,7756144,1667931,1934492,B,35
2019,east,0.5022821215139442,22.01269920318725,24.05191733067729,33.437998007968126,16.87699203187251,53.82158864541832,7.438247011952191,234477,7756144,1667931,1934492,C,3
2019,east,0.5022821215139442,22.01269920318725,24.05191733067729,33.437998007968126,16.87699203187251,53.82158864541832,7.438247011952191,234477,7756144,1667931,1934492,D,1
2019,east,0.5022821215139442,22.01269920318725,24.05191733067729,33.437998007968126,16.87699203187251,53.82158864541832,7.438247011952191,234477,7756144,1667931,1934492,E,1
2019,east,0.5022821215139442,22.01269920318725,24.05191733067729,33.437998007968126,16.87699203187251,53.82158864541832,7.438247011952191,234477,7756144,1667931,1934492,F,14
2019,east,0.5022821215139442,22.01269920318725,24.05191733067729,33.437998007968126,16.87699203187251,53.82158864541832,7.438247011952191,234477,7756144,1667931,1934492,A,5
2019,east,0.5022821215139442,22.01269920318725,24.05191733067729,33.437998007968126,16.87699203187251,53.82158864541832,7.438247011952191,234477,7756144,1667931,1934492,B,26
